graph_id,min_df,Topics,Words,Similar Words,No. Results,No. QGS,No. GS,No. Total
299,0.3,3,7,2,49,0,0,0
300,0.3,3,7,3,241,2,3,12
301,0.3,3,8,0,3,0,0,0
302,0.3,3,8,1,3,0,0,0
303,0.3,3,8,2,3,0,0,0
304,0.3,3,8,3,15,2,2,12
305,0.3,3,9,0,-1,2,2,12
306,0.3,3,9,1,-1,2,2,12
307,0.3,3,9,2,-1,2,2,12
308,0.3,3,9,3,15,2,2,12
309,0.3,3,10,0,-1,2,2,12
310,0.3,3,10,1,-1,2,2,12
311,0.3,3,10,2,-1,2,2,12
312,0.3,3,10,3,10,2,2,12
313,0.3,4,5,0,21,4,4,12
314,0.3,4,5,1,417,4,4,12
315,0.3,4,5,2,3170,4,4,12
316,0.3,4,5,3,3025,0,1,12
317,0.3,4,6,0,16,4,4,12
318,0.3,4,6,1,69,4,4,12
319,0.3,4,6,2,544,4,4,12
320,0.3,4,6,3,3025,0,2,12
321,0.3,4,7,0,11,4,4,12
322,0.3,4,7,1,34,4,4,12
323,0.3,4,7,2,229,4,4,12
324,0.3,4,7,3,3025,0,2,12
325,0.3,4,8,0,5,4,4,12
326,0.3,4,8,1,12,4,4,12
327,0.3,4,8,2,21,4,4,12
328,0.3,4,8,3,156,4,5,12
329,0.3,4,9,0,2,2,2,12
330,0.3,4,9,1,4,2,2,12
331,0.3,4,9,2,4,2,2,12
332,0.3,4,9,3,44,4,4,12
333,0.3,4,10,0,2,2,2,12
334,0.3,4,10,1,2,2,2,12
335,0.3,4,10,2,2,2,2,12
336,0.3,4,10,3,26,4,4,12
337,0.3,5,5,0,21,4,4,12
338,0.3,5,5,1,417,4,4,12
339,0.3,5,5,2,3170,4,4,12
340,0.3,5,5,3,3025,0,1,12
341,0.3,5,6,0,16,4,4,12
342,0.3,5,6,1,69,4,4,12
343,0.3,5,6,2,544,4,4,12
344,0.3,5,6,3,3025,0,2,12
345,0.3,5,7,0,11,4,4,12
346,0.3,5,7,1,34,4,4,12
347,0.3,5,7,2,229,4,4,12
348,0.3,5,7,3,3025,0,2,12
349,0.3,5,8,0,5,4,4,12
350,0.3,5,8,1,12,4,4,12
351,0.3,5,8,2,21,4,4,12
352,0.3,5,8,3,156,4,5,12
353,0.3,5,9,0,2,2,2,12
354,0.3,5,9,1,4,2,2,12
355,0.3,5,9,2,4,2,2,12
356,0.3,5,9,3,44,4,4,12
357,0.3,5,10,0,2,2,2,12
358,0.3,5,10,1,4,2,2,12
359,0.3,5,10,2,4,2,2,12
360,0.3,5,10,3,0,0,0,0
361,0.4,1,5,0,177,2,3,12
362,0.4,1,5,1,277,2,4,12
363,0.4,1,5,2,320,2,4,12
364,0.4,1,5,3,323,2,4,12
365,0.4,1,6,0,122,2,3,12
366,0.4,1,6,1,211,2,3,12
367,0.4,1,6,2,259,2,3,12
368,0.4,1,6,3,305,2,3,12
369,0.4,1,7,0,15,0,0,0
370,0.4,1,7,1,33,0,0,0
371,0.4,1,7,2,42,0,0,0
372,0.4,1,7,3,231,2,3,12
373,0.4,1,8,0,3,0,0,0
374,0.4,1,8,1,3,0,0,0
375,0.4,1,8,2,3,0,0,0
376,0.4,1,8,3,15,2,2,12
377,0.4,1,9,0,3,0,0,0
378,0.4,1,9,1,3,0,0,0
379,0.4,1,9,2,3,0,0,0
380,0.4,1,9,3,13,2,2,12
381,0.4,1,10,0,3,0,0,0
382,0.4,1,10,1,3,0,0,0
383,0.4,1,10,2,3,0,0,0
384,0.4,1,10,3,7,2,2,12
385,0.4,2,5,0,21,4,4,12
386,0.4,2,5,1,104,4,4,12
387,0.4,2,5,2,1251,4,4,12
388,0.4,2,5,3,3025,0,2,12
389,0.4,2,6,0,16,4,4,12
390,0.4,2,6,1,69,4,4,12
391,0.4,2,6,2,544,4,4,12
392,0.4,2,6,3,3025,0,2,12
393,0.4,2,7,0,11,4,4,12
394,0.4,2,7,1,34,4,4,12
395,0.4,2,7,2,229,4,4,12
396,0.4,2,7,3,3025,0,2,12
397,0.4,2,8,0,5,4,4,12
398,0.4,2,8,1,12,4,4,12
399,0.4,2,8,2,21,4,4,12
400,0.4,2,8,3,156,4,5,12
401,0.4,2,9,0,2,2,2,12
402,0.4,2,9,1,4,2,2,12
403,0.4,2,9,2,4,2,2,12
404,0.4,2,9,3,44,4,4,12
405,0.4,2,10,0,2,2,2,12
406,0.4,2,10,1,2,2,2,12
407,0.4,2,10,2,2,2,2,12
408,0.4,2,10,3,16,4,4,12
409,0.4,3,5,0,184,2,3,12
410,0.4,3,5,1,296,2,4,12
411,0.4,3,5,2,348,2,4,12
412,0.4,3,5,3,396,2,4,12
413,0.4,3,6,0,122,2,3,12
414,0.4,3,6,1,214,2,3,12
415,0.4,3,6,2,271,2,3,12
416,0.4,3,6,3,326,2,3,12
417,0.4,3,7,0,15,0,0,0
418,0.4,3,7,1,35,0,0,0
419,0.4,3,7,2,49,0,0,0
420,0.4,3,7,3,241,2,3,12
421,0.4,3,8,0,3,0,0,0
422,0.4,3,8,1,3,0,0,0
423,0.4,3,8,2,3,0,0,0
424,0.4,3,8,3,15,2,2,12
425,0.4,3,9,0,-1,2,2,12
426,0.4,3,9,1,-1,2,2,12
427,0.4,3,9,2,-1,2,2,12
428,0.4,3,9,3,15,2,2,12
429,0.4,3,10,0,-1,2,2,12
430,0.4,3,10,1,-1,2,2,12
431,0.4,3,10,2,-1,2,2,12
432,0.4,3,10,3,10,2,2,12
433,0.4,4,5,0,21,4,4,12
434,0.4,4,5,1,417,4,4,12
435,0.4,4,5,2,3170,4,4,12
436,0.4,4,5,3,3025,0,1,12
437,0.4,4,6,0,16,4,4,12
438,0.4,4,6,1,69,4,4,12
439,0.4,4,6,2,544,4,4,12
440,0.4,4,6,3,3025,0,2,12
441,0.4,4,7,0,11,4,4,12
442,0.4,4,7,1,34,4,4,12
443,0.4,4,7,2,229,4,4,12
444,0.4,4,7,3,3025,0,2,12
445,0.4,4,8,0,5,4,4,12
446,0.4,4,8,1,12,4,4,12
447,0.4,4,8,2,21,4,4,12
448,0.4,4,8,3,156,4,5,12
449,0.4,4,9,0,2,2,2,12
450,0.4,4,9,1,4,2,2,12
451,0.4,4,9,2,4,2,2,12
452,0.4,4,9,3,44,4,4,12
453,0.4,4,10,0,2,2,2,12
454,0.4,4,10,1,2,2,2,12
455,0.4,4,10,2,2,2,2,12
456,0.4,4,10,3,26,4,4,12
457,0.4,5,5,0,21,4,4,12
458,0.4,5,5,1,417,4,4,12
459,0.4,5,5,2,3170,4,4,12
460,0.4,5,5,3,3025,0,1,12
461,0.4,5,6,0,16,4,4,12
462,0.4,5,6,1,69,4,4,12
463,0.4,5,6,2,544,4,4,12
464,0.4,5,6,3,3025,0,2,12
465,0.4,5,7,0,11,4,4,12
466,0.4,5,7,1,34,4,4,12
467,0.4,5,7,2,229,4,4,12
468,0.4,5,7,3,3025,0,2,12
469,0.4,5,8,0,5,4,4,12
470,0.4,5,8,1,12,4,4,12
471,0.4,5,8,2,21,4,4,12
472,0.4,5,8,3,156,4,5,12
473,0.4,5,9,0,2,2,2,12
474,0.4,5,9,1,4,2,2,12
475,0.4,5,9,2,4,2,2,12
476,0.4,5,9,3,44,4,4,12
477,0.4,5,10,0,2,2,2,12
478,0.4,5,10,1,4,2,2,12
479,0.4,5,10,2,4,2,2,12
480,0.4,5,10,3,0,0,0,0
